refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR3129836	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 1 Normal	
SRR3129837	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 2 Normal	
SRR3129838	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 3 Normal	
SRR3129839	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 4 Normal	
SRR3129840	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 5 Normal	
SRR3129841	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 6 Normal	
SRR3129842	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 7 Normal	
SRR3129843	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 10 Normal	
SRR3129844	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 8 Normal	
SRR3129845	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 9 Normal	
SRR3129846	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 11 Normal	
SRR3129847	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 12 Normal	
SRR3129848	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 14 Normal	
SRR3129849	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 13 Normal	
SRR3129850	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 15 Normal	
SRR3129851	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 16 Normal	
SRR3129852	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 17 Normal	
SRR3129853	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 18 Normal	
SRR3129854	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 19 Normal	
SRR3129855	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 20 Normal	
SRR3129856	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 21 Normal	
SRR3129857	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 22 Normal	
SRR3129858	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 23 Normal	
