term_id,term_name,gprofiler_padj,wilcoxon_padj,n_methods_tested,n_methods_significant,score
GO:0000070,Mitotic Sister Chromatid Segregation,7.823788874121273e-17,2.3879155441853185e-19,2,2,34.72856391495239
GO:0140014,Mitotic Nuclear Division,2.1537598951588017e-17,8.295872210468714e-10,2,2,25.7479406606673
GO:0000819,Sister Chromatid Segregation,1.3450595463861348e-16,1.221724894128486e-09,2,2,24.78428506558081
GO:0098813,Nuclear Chromosome Segregation,1.507667571448893e-19,0.0002399630220957,2,2,22.441550083537543
GO:0010564,Regulation of Cell Cycle Process,2.4294016686831743e-11,1.9719039732597123e-09,2,2,19.319614912467614
GO:0051310,Metaphase Chromosome Alignment,7.726530918977353e-09,2.2232450223116247e-11,2,2,18.765028124525692
GO:0007094,Mitotic Spindle Assembly Checkpoint Signaling,9.045048863534014e-11,9.448279991676648e-09,2,2,18.068236327893597
GO:0071173,Spindle Assembly Checkpoint Signaling,9.045048863534014e-11,9.448279991676648e-09,2,2,18.068236327893597
GO:0071174,Mitotic Spindle Checkpoint Signaling,9.045048863534014e-11,9.448279991676648e-09,2,2,18.068236327893597
GO:0007052,Mitotic Spindle Organization,1.0685711560649115e-06,3.460257113986944e-12,2,2,17.43208818271258
GO:0045841,Negative Regulation of Mitotic Metaphase/Anaphase Transition,2.37958295195381e-10,1.7891613571822293e-08,2,2,17.37084964156618
GO:0090068,Positive Regulation of Cell Cycle Process,3.456214150219289e-07,5.563392558085732e-11,2,2,16.71605965083312
GO:0044772,Mitotic Cell Cycle Phase Transition,3.800776271245397e-11,7.021478379104513e-07,2,2,16.57369913105553
GO:0007088,Regulation of Mitotic Nuclear Division,7.12633981154064e-13,4.3106343148400384e-05,2,2,16.512592290844783
GO:0051726,Regulation of Cell Cycle,1.2340569534760639e-10,2.508121026026535e-07,2,2,16.509316307571027
GO:0051276,Chromosome Organization,4.654997063223151e-14,0.002286083196738,2,2,15.972988557177981
GO:1902850,Microtubule Cytoskeleton Organization Involved in Mitosis,1.0315387574830277e-08,2.6483722508491962e-08,2,2,15.563535421081289
GO:0051783,Regulation of Nuclear Division,1.40044439638038e-11,6.773972321032879e-05,2,2,15.022890712090714
GO:0006260,DNA Replication,0.0001014130041848,2.0093161084066467e-11,2,2,14.690858085935133
GO:0007080,Mitotic Metaphase Chromosome Alignment,3.5662541564384448e-06,6.41795928852074e-10,2,2,14.640390751289711
GO:1901990,Regulation of Mitotic Cell Cycle Phase Transition,6.645330876315037e-09,3.829965185247794e-07,2,2,14.594288564106957
GO:0006261,DNA-templated DNA Replication,1.5365036728759756e-05,4.374032350059056e-10,2,2,14.172584406536593
GO:0007346,Regulation of Mitotic Cell Cycle,1.1091802787632363e-09,1.1132394294025188e-05,2,2,13.908409280740948
GO:0030071,Regulation of Mitotic Metaphase/Anaphase Transition,1.1068267031340122e-08,1.1165352661016875e-05,2,2,12.908047926735831
GO:0010965,Regulation of Mitotic Sister Chromatid Separation,2.3117796898206839e-10,0.0006024927089905,2,2,12.856101760383652
GO:0032787,Monocarboxylic Acid Metabolic Process,8.119410409331454e-05,4.720432648513122e-09,2,2,12.416493700423771
GO:0033047,Regulation of Mitotic Sister Chromatid Segregation,3.049532672881069e-10,0.0142133083687552,2,2,11.363071530728682
GO:1901992,Positive Regulation of Mitotic Cell Cycle Phase Transition,0.0058715673237419,2.3455962812670898e-08,2,2,9.86099269068087
GO:0019373,Epoxygenase P450 Pathway,9.267060004424995e-06,2.9446948703075377e-05,2,2,9.564017725103287
GO:1902099,Regulation of Metaphase/Anaphase Transition of Cell Cycle,2.4550402147522432e-08,0.0144893083538755,2,2,9.448893734578872
GO:0006270,DNA Replication Initiation,1.657141788637308e-06,0.000225940341729,2,2,9.426646549535926
GO:0008202,Steroid Metabolic Process,0.0008068901570097,8.760175950144283e-07,2,2,9.150672753158105
GO:0007093,Mitotic Cell Cycle Checkpoint Signaling,2.2210449820852733e-07,0.0042651433331174,2,2,9.023509015222924
GO:0010948,Negative Regulation of Cell Cycle Process,1.2597338088613351e-06,0.0010347083425569,2,2,8.884903264154318
GO:0044839,Cell Cycle G2/M Phase Transition,0.0013305196575335,5.076424630573365e-06,2,2,8.170420762036953
GO:0000086,G2/M Transition of Mitotic Cell Cycle,0.0018535105752788,4.445736811525945e-06,2,2,8.084061182935658
GO:0006629,Lipid Metabolic Process,0.0008325157525237,1.050082412228119e-05,2,2,8.058384155634236
GO:0090307,Mitotic Spindle Assembly,0.0022231415041407,4.70185473219102e-06,2,2,7.9807636862481015
GO:0001523,Retinoid Metabolic Process,0.0024758951983218,5.9588874799102096e-06,2,2,7.831102557593253
GO:0051225,Spindle Assembly,0.0066539608431156,2.62328344313681e-06,2,2,7.7580745409658896
GO:0030174,Regulation of DNA-templated DNA Replication Initiation,9.809927906162968e-05,0.0002243510595174,2,2,7.657406059401019
GO:0019752,Carboxylic Acid Metabolic Process,4.873057082518935e-06,0.0098814847406771,2,2,7.31737629697713
GO:0000727,Double-Strand Break Repair via Break-Induced Replication,0.0024313958232116,2.23313201218666e-05,2,2,7.265229936430497
GO:0019369,Arachidonate Metabolic Process,0.0096073566730086,1.881921124648578e-05,2,2,6.742794668561988
GO:0043436,Oxoacid Metabolic Process,8.189885893883685e-06,0.0255243625390976,2,2,6.6797672444727265
GO:0051315,Attachment of Mitotic Spindle Microtubules to Kinetochore,8.188818946099796e-05,0.0027235474190991,2,2,6.6516437899013425
GO:0072330,Monocarboxylic Acid Biosynthetic Process,0.0249599187571435,1.28686536063837e-05,2,2,6.493223721727779
GO:0090266,Regulation of Mitotic Cell Cycle Spindle Assembly Checkpoint,0.0074433855212804,4.771122994551378e-05,2,2,6.449608874300685
GO:0001676,Long-Chain Fatty Acid Metabolic Process,0.0107775334480586,3.959952183856915e-05,2,2,6.36979067875776
GO:1901970,Positive Regulation of Mitotic Sister Chromatid Separation,0.0231854144662389,6.0234965038297246e-05,2,2,5.854936473576202
GO:0042573,Retinoic Acid Metabolic Process,0.0023445943855277,0.000694385271367,2,2,5.78833177890103
GO:0015850,Organic Hydroxy Compound Transport,0.0007485441456992,0.0033084115540434,2,2,5.606163053016882
GO:0051984,Positive Regulation of Chromosome Segregation,0.0007735000107261,0.0036027940559022,2,2,5.554900238394085
GO:0097267,Omega-Hydroxylase P450 Pathway,0.0255032986211001,0.000225940341729,2,2,5.2394098625889995
GO:0010389,Regulation of G2/M Transition of Mitotic Cell Cycle,0.041309711184964,0.0003901267075329,2,2,4.792742158836699
GO:0042178,Xenobiotic Catabolic Process,0.0160606028548994,0.0010282743633761,2,2,4.782129148721086
GO:1905820,Positive Regulation of Chromosome Separation,0.00164645338378,0.0102307972693344,2,2,4.7735410821154325
GO:0090329,Regulation of DNA-templated DNA Replication,0.0252738497031459,0.0006988092943537,2,2,4.752969928887614
GO:1902969,Mitotic DNA Replication,0.0033903200197872,0.0083082499666593,2,2,4.550249751361127
GO:0140694,Membraneless Organelle Assembly,0.0331144094843348,0.0009733902968942,2,2,4.491695972418262
GO:0030509,BMP Signaling Pathway,0.006538640251533,0.0251524721644854,2,2,3.7839318793117
GO:0071773,Cellular Response to BMP Stimulus,0.0079034502080254,0.0382404244334702,2,2,3.51966057453191
GO:0042759,Long-Chain Fatty Acid Biosynthetic Process,0.0320594561026061,0.0113057690984424,2,2,3.4407437383722597
GO:0006570,Tyrosine Metabolic Process,0.046539319998919,0.0417825881373771,2,2,2.711184628655083
GO:0006412,Translation,,1.2425466862148437e-29,1,1,28.905687284538633
GO:0042254,Ribosome Biogenesis,,1.7188913230083954e-28,1,1,27.764751580735737
GO:0002181,Cytoplasmic Translation,,3.2560103702090667e-28,1,1,27.487314220577247
GO:0009059,Macromolecule Biosynthetic Process,,5.9021415897059665e-27,1,1,26.228990376182992
GO:0010467,Gene Expression,,3.39266170786598e-25,1,1,24.46945944295779
GO:0022613,Ribonucleoprotein Complex Biogenesis,,2.265271080085221e-23,1,1,22.644879819460986
GO:0032502,developmental process,3.925435463709469e-23,,1,1,22.40611215828285
GO:0048856,anatomical structure development,4.099751823169073e-22,,1,1,21.387242432326705
GO:0032501,multicellular organismal process,1.4521964547759037e-21,,1,1,20.837974627813736
GO:0000280,nuclear division,2.785811959246453e-21,,1,1,20.55504820155805
GO:0007275,multicellular organism development,4.133921269738941e-21,,1,1,20.383637798740065
GO:0006281,DNA Repair,,9.197026214354671e-21,1,1,20.036352575640485
GO:0048731,system development,1.34580300389352e-20,,1,1,19.87101850666727
GO:0050896,response to stimulus,1.7478522581921972e-20,,1,1,19.75749528003319
GO:0000278,mitotic cell cycle,3.1496799456210585e-20,,1,1,19.501733574754073
GO:0048285,Organelle Fission,5.2460137534393844e-20,0.6184198641050708,2,1,19.488887144161783
