term_id,term_name,padj,term_size,overlap
GO:0032502,developmental process,3.9254354637094686e-23,6535,536
GO:0048856,anatomical structure development,4.099751823169073e-22,5948,496
GO:0032501,multicellular organismal process,1.4521964547759037e-21,7337,579
GO:0000280,nuclear division,2.785811959246453e-21,450,87
GO:0007275,multicellular organism development,4.133921269738941e-21,4690,412
GO:0048731,system development,1.34580300389352e-20,4023,366
GO:0050896,response to stimulus,1.7478522581921972e-20,9051,675
GO:0000278,mitotic cell cycle,3.1496799456210585e-20,893,129
GO:0048285,organelle fission,5.246013753439384e-20,497,90
GO:0098813,nuclear chromosome segregation,1.507667571448893e-19,324,70
GO:1903047,mitotic cell cycle process,1.647794790667101e-19,747,114
GO:0022402,cell cycle process,4.378430047217314e-19,1290,161
GO:0007049,cell cycle,1.85711047110608e-18,1668,190
GO:0007059,chromosome segregation,3.791892418853706e-18,432,80
GO:0065007,biological regulation,9.958963866755968e-18,12804,868
GO:0140014,mitotic nuclear division,2.1537598951588017e-17,283,62
GO:0000070,mitotic sister chromatid segregation,7.823788874121274e-17,194,50
GO:0000819,sister chromatid segregation,1.3450595463861348e-16,235,55
GO:0048513,animal organ development,2.3433128377059284e-16,3018,283
GO:0050789,regulation of biological process,5.678920872745629e-15,12397,836
GO:0051276,chromosome organization,4.6549970632231506e-14,575,87
GO:0007088,regulation of mitotic nuclear division,7.12633981154064e-13,121,35
GO:0051716,cellular response to stimulus,4.402062177685636e-12,7425,545
GO:0007267,cell-cell signaling,4.458016662937144e-12,1316,145
GO:0051783,regulation of nuclear division,1.4004443963803801e-11,147,37
GO:0022414,reproductive process,2.2757065750212926e-11,1592,164
GO:0010564,regulation of cell cycle process,2.4294016686831743e-11,728,95
GO:0044772,mitotic cell cycle phase transition,3.8007762712453964e-11,426,67
GO:0044770,cell cycle phase transition,4.915570489729859e-11,534,77
GO:1905818,regulation of chromosome separation,7.784807577680882e-11,77,26
GO:0007094,mitotic spindle assembly checkpoint signaling,9.045048863534014e-11,49,21
GO:0071173,spindle assembly checkpoint signaling,9.045048863534014e-11,49,21
GO:0071174,mitotic spindle checkpoint signaling,9.045048863534014e-11,49,21
GO:0051726,regulation of cell cycle,1.234056953476064e-10,1088,123
GO:0031577,spindle checkpoint signaling,1.477462228442225e-10,50,21
GO:0009888,tissue development,1.7232720142845804e-10,2014,192
GO:0010965,regulation of mitotic sister chromatid separation,2.311779689820684e-10,62,23
GO:0033046,negative regulation of sister chromatid segregation,2.37958295195381e-10,51,21
GO:2000816,negative regulation of mitotic sister chromatid separation,2.37958295195381e-10,51,21
GO:0033048,negative regulation of mitotic sister chromatid segregation,2.37958295195381e-10,51,21
GO:0045841,negative regulation of mitotic metaphase/anaphase transition,2.37958295195381e-10,51,21
GO:0033047,regulation of mitotic sister chromatid segregation,3.049532672881069e-10,57,22
GO:0051301,cell division,3.6537420859643765e-10,656,86
GO:0051983,regulation of chromosome segregation,5.020441017538953e-10,132,33
GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,5.933975722821593e-10,53,21
GO:1905819,negative regulation of chromosome separation,5.933975722821593e-10,53,21
GO:0051985,negative regulation of chromosome segregation,5.933975722821593e-10,53,21
GO:0045839,negative regulation of mitotic nuclear division,7.031189189493959e-10,59,22
GO:0051306,mitotic sister chromatid separation,7.477159313118821e-10,65,23
GO:0051784,negative regulation of nuclear division,7.477159313118821e-10,65,23
GO:0051304,chromosome separation,8.019120245872906e-10,84,26
GO:0009653,anatomical structure morphogenesis,9.634461406702719e-10,2699,237
GO:0007346,regulation of mitotic cell cycle,1.1091802787632363e-09,489,70
GO:0030154,cell differentiation,1.1660245133710477e-09,4443,351
GO:0048869,cellular developmental process,1.2032416012593248e-09,4444,351
GO:0033045,regulation of sister chromatid segregation,1.5615027556808422e-09,107,29
GO:1903046,meiotic cell cycle process,1.7760805950366439e-09,222,43
GO:0007091,metaphase/anaphase transition of mitotic cell cycle,4.836358419938977e-09,97,27
GO:1901990,regulation of mitotic cell cycle phase transition,6.645330876315037e-09,327,53
GO:1901987,regulation of cell cycle phase transition,7.337487547678282e-09,432,63
GO:0051310,metaphase chromosome alignment,7.726530918977353e-09,106,28
GO:1902850,microtubule cytoskeleton organization involved in mitosis,1.0315387574830275e-08,171,36
GO:0044784,metaphase/anaphase transition of cell cycle,1.068356521552012e-08,100,27
GO:0030071,regulation of mitotic metaphase/anaphase transition,1.1068267031340122e-08,93,26
GO:0140013,meiotic nuclear division,1.4117252138803068e-08,199,39
GO:0009410,response to xenobiotic stimulus,1.4748914859348193e-08,396,59
GO:0051321,meiotic cell cycle,1.781384239215046e-08,295,49
GO:0050000,chromosome localization,1.901888428302107e-08,125,30
GO:0120254,olefinic compound metabolic process,2.1214982888647606e-08,158,34
GO:0050794,regulation of cellular process,2.143769268122275e-08,11962,782
GO:1902099,regulation of metaphase/anaphase transition of cell cycle,2.4550402147522432e-08,96,26
GO:0007399,nervous system development,5.246761732390194e-08,2597,223
GO:0007154,cell communication,8.152205429367854e-08,6598,474
GO:0045786,negative regulation of cell cycle,1.2844516489409232e-07,374,55
GO:0000075,cell cycle checkpoint signaling,1.3253609393652294e-07,186,36
GO:0007093,mitotic cell cycle checkpoint signaling,2.2210449820852733e-07,137,30
GO:0090068,positive regulation of cell cycle process,3.4562141502192883e-07,259,43
GO:0008283,cell population proliferation,3.5601826426131844e-07,1961,176
GO:0009636,response to toxic substance,3.7473599185843755e-07,240,41
GO:0042445,hormone metabolic process,4.2759332798288833e-07,241,41
GO:0048518,positive regulation of biological process,6.673216383330381e-07,6150,442
GO:0023052,signaling,7.904701737230549e-07,6558,466
GO:0008608,attachment of spindle microtubules to kinetochore,8.71174275397767e-07,54,18
GO:0007052,mitotic spindle organization,1.0685711560649117e-06,137,29
GO:0048522,positive regulation of cellular process,1.077459004558363e-06,5739,416
GO:1901988,negative regulation of cell cycle phase transition,1.1926712439473051e-06,249,41
GO:0007610,behavior,1.2000951924723506e-06,665,78
GO:0010948,negative regulation of cell cycle process,1.2597338088613353e-06,290,45
GO:0099536,synaptic signaling,1.308608516455606e-06,803,89
GO:0006270,DNA replication initiation,1.657141788637308e-06,38,15
GO:0071466,cellular response to xenobiotic stimulus,1.8019407428899312e-06,194,35
GO:0065008,regulation of biological quality,2.2978675094707473e-06,2963,240
GO:0048706,embryonic skeletal system development,2.4231867352804744e-06,133,28
GO:0042127,regulation of cell population proliferation,2.6565226989341984e-06,1639,150
GO:0048519,negative regulation of biological process,3.3413450755659444e-06,5753,414
GO:0007080,mitotic metaphase chromosome alignment,3.5662541564384448e-06,65,19
GO:0070887,cellular response to chemical stimulus,4.012924731966147e-06,2199,188
GO:0099537,trans-synaptic signaling,4.462153912503075e-06,772,85
GO:0019752,carboxylic acid metabolic process,4.873057082518935e-06,863,92
GO:1901991,negative regulation of mitotic cell cycle phase transition,5.008410385263273e-06,173,32
GO:0006082,organic acid metabolic process,5.8235488311660735e-06,892,94
GO:0007268,chemical synaptic transmission,6.343597877329869e-06,765,84
GO:0098916,anterograde trans-synaptic signaling,6.343597877329869e-06,765,84
GO:0043436,oxoacid metabolic process,8.189885893883685e-06,885,93
GO:0010817,regulation of hormone levels,8.547606879830985e-06,547,66
GO:0060429,epithelium development,8.771499671309757e-06,1234,119
