term_id,term_name,pvalue,term_size,overlap,median_stat_in_set,direction,padj
GO:0006412,Translation,3.642763665244338e-33,226,226,5.165052364312589,up,1.2425466862148437e-29
GO:0042254,Ribosome Biogenesis,1.0078518457979453e-31,161,161,5.963305019704072,up,1.7188913230083957e-28
GO:0002181,Cytoplasmic Translation,2.8636854619253006e-31,99,99,6.852408332632049,up,3.2560103702090667e-28
GO:0009059,Macromolecule Biosynthetic Process,6.921303535275247e-30,180,180,5.824351028367966,up,5.902141589705967e-27
GO:0010467,Gene Expression,4.973118891624128e-28,361,361,4.673664711800468,up,3.39266170786598e-25
GO:0022613,Ribonucleoprotein Complex Biogenesis,3.984645699358349e-26,120,120,6.315083512242491,up,2.265271080085221e-23
GO:0006281,DNA Repair,1.8873991058482177e-23,294,294,4.06303756972814,up,9.197026214354673e-21
GO:0000070,Mitotic Sister Chromatid Segregation,5.600505527259616e-22,119,119,6.26185113207032,up,2.3879155441853185e-19
GO:0006396,RNA Processing,9.354474204982062e-22,286,286,4.148929339212982,up,3.5453457236882013e-19
GO:0006259,DNA Metabolic Process,2.3988949644497837e-21,292,292,4.142123584902523,up,8.182630723738213e-19
GO:0006974,DNA Damage Response,6.452974517403931e-21,414,414,3.5304395221710276,up,2.0010087344422554e-18
GO:0000398,"mRNA Splicing, via Spliceosome",1.155982283874225e-19,206,206,4.753960541280508,up,3.2858796419124845e-17
GO:0006397,mRNA Processing,1.5169541285213598e-19,220,220,4.71665275917486,up,3.980254255681814e-17
GO:0042274,Ribosomal Small Subunit Biogenesis,4.635106735945458e-19,84,84,6.425776212211262,up,1.1293106483078541e-16
GO:0000377,"RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile",1.911277572414474e-18,167,167,5.036950011296998,up,4.3462451996705133e-16
GO:0006364,rRNA Processing,4.4984223023165505e-18,110,110,5.5137172829634284,up,9.590074045751097e-16
GO:0022618,protein-RNA Complex Assembly,6.613490029089636e-15,134,134,5.352985860225187,up,1.2532563605124861e-12
GO:0016072,rRNA Metabolic Process,6.446309308140354e-15,98,98,5.5137172829634284,up,1.2532563605124861e-12
GO:0007052,Mitotic Spindle Organization,1.927437266659394e-14,89,89,6.393407706958602,up,3.4602571139869436e-12
GO:0006260,DNA Replication,1.1781390257441493e-13,70,70,6.246428771934379,up,2.0093161084066467e-11
GO:0051310,Metaphase Chromosome Alignment,1.368752432381827e-13,53,53,6.559170901622821,up,2.2232450223116247e-11
GO:0006325,Chromatin Organization,3.475639952568737e-13,301,301,3.517406423395641,up,5.388821762823619e-11
GO:0009062,Fatty Acid Catabolic Process,4.074323629544407e-13,57,57,-3.952409231374944,down,5.563392558085732e-11
GO:0019395,Fatty Acid Oxidation,4.077537788101533e-13,49,49,-4.761130339222315,down,5.563392558085732e-11
GO:0090068,Positive Regulation of Cell Cycle Process,4.005977375100936e-13,104,104,5.565097328566763,up,5.563392558085732e-11
GO:0006635,Fatty Acid Beta-Oxidation,5.24000817448592e-13,48,48,-4.802636869105262,down,6.874487647373644e-11
GO:0006886,Intracellular Protein Transport,1.1154887518251684e-12,317,317,3.086010920536832,up,1.4092341231391292e-10
GO:0006302,Double-Strand Break Repair,1.6754344960522064e-12,169,169,3.976274699072953,up,2.0410382378693129e-10
GO:0006631,Fatty Acid Metabolic Process,2.488541882931893e-12,120,120,-2.610579350787089,down,2.927040125062306e-10
