refinebio_accession_code,group
SRR3129836,Normal
SRR3129837,Normal
SRR3129838,Normal
SRR3129839,Normal
SRR3129840,Normal
SRR3129841,Normal
SRR3129842,Normal
SRR3129843,Normal
SRR3129844,Normal
SRR3129845,Normal
SRR3129846,Normal
SRR3129847,Normal
SRR3129848,Normal
SRR3129849,Normal
SRR3129850,Normal
SRR3129851,Normal
SRR3129852,Normal
SRR3129853,Normal
SRR3129854,Normal
SRR3129855,Normal
SRR3129856,Normal
SRR3129857,Normal
SRR3129858,Normal
SRR3129859,Normal
SRR3129860,Normal
SRR3129861,Normal
SRR3129862,Normal
SRR3129863,Normal
SRR3129864,Normal
SRR3129865,Normal
SRR3129866,Normal
SRR3129867,Normal
SRR3129868,Normal
SRR3129869,Normal
SRR3129870,Normal
SRR3129871,Normal
SRR3129872,Normal
SRR3129873,Normal
SRR3129874,Normal
SRR3129875,Normal
SRR3129876,Normal
SRR3129877,Normal
SRR3129878,Normal
SRR3129879,Normal
SRR3129880,Normal
SRR3129881,Normal
SRR3129882,Normal
SRR3129883,Normal
SRR3129885,Normal
SRR3129886,Tumor
SRR3129887,Tumor
SRR3129888,Tumor
SRR3129889,Tumor
SRR3129890,Tumor
SRR3129891,Tumor
SRR3129892,Tumor
SRR3129893,Tumor
SRR3129894,Tumor
SRR3129895,Tumor
SRR3129896,Tumor
SRR3129897,Tumor
SRR3129898,Tumor
SRR3129899,Tumor
SRR3129900,Tumor
SRR3129901,Tumor
SRR3129902,Tumor
SRR3129903,Tumor
SRR3129904,Tumor
SRR3129905,Tumor
SRR3129906,Tumor
SRR3129907,Tumor
SRR3129908,Tumor
SRR3129909,Tumor
SRR3129910,Tumor
SRR3129911,Tumor
SRR3129912,Tumor
SRR3129913,Tumor
SRR3129914,Tumor
SRR3129915,Tumor
SRR3129916,Tumor
SRR3129917,Tumor
SRR3129918,Tumor
SRR3129919,Tumor
SRR3129920,Tumor
SRR3129921,Tumor
SRR3129922,Tumor
SRR3129923,Tumor
SRR3129924,Tumor
SRR3129925,Tumor
SRR3129926,Tumor
SRR3129927,Tumor
SRR3129928,Tumor
SRR3129929,Tumor
SRR3129930,Tumor
SRR3129931,Tumor
SRR3129932,Tumor
SRR3129933,Tumor
SRR3129934,Tumor
SRR3129935,Tumor
SRR3182261,Normal
